Sample	CDS_pos	Chromosome	gpos	exon	dpF	dpR
VHL_HC1	38	chr3	10183569	e1	1853	560
VHL_HC1	39	chr3	10183570	e1	1613	491
VHL_HC1	40	chr3	10183571	e1	1570	492
VHL_HC1	41	chr3	10183572	e1	1616	492
VHL_HC1	42	chr3	10183573	e1	1616	493
VHL_HC1	43	chr3	10183574	e1	1616	1070
VHL_HC1	44	chr3	10183575	e1	1617	1076
VHL_HC1	45	chr3	10183576	e1	1464	1563
VHL_HC1	46	chr3	10183577	e1	1465	1760
VHL_HC1	47	chr3	10183578	e1	1465	1761
VHL_HC1	48	chr3	10183579	e1	1464	1950
VHL_HC1	49	chr3	10183580	e1	1465	1957
VHL_HC1	50	chr3	10183581	e1	1465	2518
VHL_HC1	51	chr3	10183582	e1	1465	3063
VHL_HC1	52	chr3	10183583	e1	1465	3077
VHL_HC1	53	chr3	10183584	e1	1463	3077
VHL_HC1	54	chr3	10183585	e1	1464	3081
VHL_HC1	55	chr3	10183586	e1	1464	3077
VHL_HC1	56	chr3	10183587	e1	1225	3272
VHL_HC1	57	chr3	10183588	e1	1224	3278
VHL_HC1	58	chr3	10183589	e1	1032	4194
VHL_HC1	59	chr3	10183590	e1	1032	4193
VHL_HC1	60	chr3	10183591	e1	1032	4351
VHL_HC1	61	chr3	10183592	e1	594	5422
VHL_HC1	62	chr3	10183593	e1	450	5884
VHL_HC1	63	chr3	10183594	e1	470	5888
VHL_HC1	64	chr3	10183595	e1	1053	6513
VHL_HC1	65	chr3	10183596	e1	77134	7574
VHL_HC1	66	chr3	10183597	e1	78318	7579
VHL_HC1	67	chr3	10183598	e1	78446	7581
VHL_HC1	68	chr3	10183599	e1	78535	8165
VHL_HC1	69	chr3	10183600	e1	78485	8167
VHL_HC1	70	chr3	10183601	e1	79311	8169
VHL_HC1	71	chr3	10183602	e1	79419	8171
VHL_HC1	72	chr3	10183603	e1	74319	8392
VHL_HC1	73	chr3	10183604	e1	80326	9306
VHL_HC1	74	chr3	10183605	e1	80101	9736
VHL_HC1	75	chr3	10183606	e1	80149	9729
VHL_HC1	76	chr3	10183607	e1	80863	11486
VHL_HC1	77	chr3	10183608	e1	80612	11438
VHL_HC1	78	chr3	10183609	e1	81526	12170
VHL_HC1	79	chr3	10183610	e1	81694	12615
VHL_HC1	80	chr3	10183611	e1	81022	12611
VHL_HC1	81	chr3	10183612	e1	82544	12619
VHL_HC1	82	chr3	10183613	e1	86045	12706
VHL_HC1	83	chr3	10183614	e1	86495	12708
VHL_HC1	84	chr3	10183615	e1	86802	12706
VHL_HC1	85	chr3	10183616	e1	91793	13276
VHL_HC1	86	chr3	10183617	e1	92958	13468
VHL_HC1	87	chr3	10183618	e1	94148	13570
VHL_HC1	88	chr3	10183619	e1	93722	14685
VHL_HC1	89	chr3	10183620	e1	96186	15428
VHL_HC1	90	chr3	10183621	e1	97358	15451
VHL_HC1	91	chr3	10183622	e1	98422	16353
VHL_HC1	92	chr3	10183623	e1	99641	16423
VHL_HC1	93	chr3	10183624	e1	100426	16428
VHL_HC1	94	chr3	10183625	e1	101198	17196
VHL_HC1	95	chr3	10183626	e1	102423	18524
VHL_HC1	96	chr3	10183627	e1	102952	19238
VHL_HC1	97	chr3	10183628	e1	103493	19276
VHL_HC1	98	chr3	10183629	e1	104057	19289
VHL_HC1	99	chr3	10183630	e1	98822	19133
VHL_HC1	100	chr3	10183631	e1	103455	19297
VHL_HC1	101	chr3	10183632	e1	104123	19300
VHL_HC1	102	chr3	10183633	e1	104246	19297
VHL_HC1	103	chr3	10183634	e1	103858	21164
VHL_HC1	104	chr3	10183635	e1	92550	21775
VHL_HC1	105	chr3	10183636	e1	108742	21829
VHL_HC1	106	chr3	10183637	e1	109475	23382
VHL_HC1	107	chr3	10183638	e1	110334	23427
VHL_HC1	108	chr3	10183639	e1	111427	24003
VHL_HC1	109	chr3	10183640	e1	112070	24523
VHL_HC1	110	chr3	10183641	e1	112295	25479
VHL_HC1	111	chr3	10183642	e1	111221	25474
VHL_HC1	112	chr3	10183643	e1	109745	26627
VHL_HC1	113	chr3	10183644	e1	28786	26497
VHL_HC1	114	chr3	10183645	e1	109654	27517
VHL_HC1	115	chr3	10183646	e1	109567	29871
VHL_HC1	116	chr3	10183647	e1	110269	32187
VHL_HC1	117	chr3	10183648	e1	108062	35684
VHL_HC1	118	chr3	10183649	e1	110196	36150
VHL_HC1	119	chr3	10183650	e1	109378	36154
VHL_HC1	120	chr3	10183651	e1	108211	37280
VHL_HC1	121	chr3	10183652	e1	107007	38599
VHL_HC1	122	chr3	10183653	e1	103458	38662
VHL_HC1	123	chr3	10183654	e1	102095	39138
VHL_HC1	124	chr3	10183655	e1	100845	42586
VHL_HC1	125	chr3	10183656	e1	100101	45672
VHL_HC1	126	chr3	10183657	e1	99331	46423
VHL_HC1	127	chr3	10183658	e1	99641	45982
VHL_HC1	128	chr3	10183659	e1	97976	46087
VHL_HC1	129	chr3	10183660	e1	97201	47672
VHL_HC1	130	chr3	10183661	e1	95740	47903
VHL_HC1	131	chr3	10183662	e1	96150	49355
VHL_HC1	132	chr3	10183663	e1	86027	50021
VHL_HC1	133	chr3	10183664	e1	93305	50526
VHL_HC1	134	chr3	10183665	e1	92970	52301
VHL_HC1	135	chr3	10183666	e1	92565	55447
VHL_HC1	136	chr3	10183667	e1	91932	56865
VHL_HC1	137	chr3	10183668	e1	91800	56876
VHL_HC1	138	chr3	10183669	e1	92005	57452
VHL_HC1	139	chr3	10183670	e1	90821	58436
VHL_HC1	140	chr3	10183671	e1	90641	58380
VHL_HC1	141	chr3	10183672	e1	90910	58935
VHL_HC1	142	chr3	10183673	e1	91067	59509
VHL_HC1	143	chr3	10183674	e1	90776	59545
VHL_HC1	144	chr3	10183675	e1	88808	59886
VHL_HC1	145	chr3	10183676	e1	91517	60489
VHL_HC1	146	chr3	10183677	e1	91782	60477
VHL_HC1	147	chr3	10183678	e1	91878	62222
VHL_HC1	148	chr3	10183679	e1	90547	65307
VHL_HC1	149	chr3	10183680	e1	88463	67009
VHL_HC1	150	chr3	10183681	e1	90725	67738
VHL_HC1	151	chr3	10183682	e1	88443	69193
VHL_HC1	152	chr3	10183683	e1	86783	70537
VHL_HC1	153	chr3	10183684	e1	86755	71524
VHL_HC1	154	chr3	10183685	e1	84974	72270
VHL_HC1	155	chr3	10183686	e1	85190	72674
VHL_HC1	156	chr3	10183687	e1	85463	72925
VHL_HC1	157	chr3	10183688	e1	84893	73158
VHL_HC1	158	chr3	10183689	e1	83274	73161
VHL_HC1	159	chr3	10183690	e1	82288	73358
VHL_HC1	160	chr3	10183691	e1	81029	73267
VHL_HC1	161	chr3	10183692	e1	80090	73783
VHL_HC1	162	chr3	10183693	e1	78399	73925
VHL_HC1	163	chr3	10183694	e1	78446	74162
VHL_HC1	164	chr3	10183695	e1	77582	74726
VHL_HC1	165	chr3	10183696	e1	75900	74915
VHL_HC1	166	chr3	10183697	e1	74811	75004
VHL_HC1	167	chr3	10183698	e1	71541	74882
VHL_HC1	168	chr3	10183699	e1	68841	75054
VHL_HC1	169	chr3	10183700	e1	64755	75714
VHL_HC1	170	chr3	10183701	e1	61924	75600
VHL_HC1	171	chr3	10183702	e1	59278	75130
VHL_HC1	172	chr3	10183703	e1	56477	74599
VHL_HC1	173	chr3	10183704	e1	53490	57796
VHL_HC1	174	chr3	10183705	e1	51989	25634
VHL_HC1	175	chr3	10183706	e1	47975	23977
VHL_HC1	176	chr3	10183707	e1	49824	59925
VHL_HC1	177	chr3	10183708	e1	42581	61014
VHL_HC1	178	chr3	10183709	e1	41617	60873
VHL_HC1	179	chr3	10183710	e1	41439	58544
VHL_HC1	180	chr3	10183711	e1	40727	39235
VHL_HC1	181	chr3	10183712	e1	39879	37312
VHL_HC1	182	chr3	10183713	e1	40851	58930
VHL_HC1	183	chr3	10183714	e1	40842	57615
VHL_HC1	184	chr3	10183715	e1	38109	58497
VHL_HC1	185	chr3	10183716	e1	38125	58084
VHL_HC1	186	chr3	10183717	e1	38160	60218
VHL_HC1	187	chr3	10183718	e1	38172	60531
VHL_HC1	188	chr3	10183719	e1	37153	59457
VHL_HC1	189	chr3	10183720	e1	33862	59729
VHL_HC1	190	chr3	10183721	e1	33866	59750
VHL_HC1	191	chr3	10183722	e1	33046	60040
VHL_HC1	192	chr3	10183723	e1	32980	60144
VHL_HC1	193	chr3	10183724	e1	33014	60325
VHL_HC1	194	chr3	10183725	e1	31273	60530
VHL_HC1	195	chr3	10183726	e1	28360	60495
VHL_HC1	196	chr3	10183727	e1	26713	60702
VHL_HC1	197	chr3	10183728	e1	26708	60679
VHL_HC1	198	chr3	10183729	e1	26571	60398
VHL_HC1	199	chr3	10183730	e1	26510	57571
VHL_HC1	200	chr3	10183731	e1	26564	59633
VHL_HC1	201	chr3	10183732	e1	26054	59543
VHL_HC1	202	chr3	10183733	e1	24663	59881
VHL_HC1	203	chr3	10183734	e1	22252	59513
VHL_HC1	204	chr3	10183735	e1	22246	59659
VHL_HC1	205	chr3	10183736	e1	21445	59395
VHL_HC1	206	chr3	10183737	e1	18560	59138
VHL_HC1	207	chr3	10183738	e1	18541	58841
VHL_HC1	208	chr3	10183739	e1	14882	58418
VHL_HC1	209	chr3	10183740	e1	14300	58011
VHL_HC1	210	chr3	10183741	e1	14258	57095
VHL_HC1	211	chr3	10183742	e1	14007	56470
VHL_HC1	212	chr3	10183743	e1	13604	56564
VHL_HC1	213	chr3	10183744	e1	13583	55698
VHL_HC1	214	chr3	10183745	e1	13571	55280
VHL_HC1	215	chr3	10183746	e1	13563	53833
VHL_HC1	216	chr3	10183747	e1	12163	54957
VHL_HC1	217	chr3	10183748	e1	12121	53993
VHL_HC1	218	chr3	10183749	e1	10480	53283
VHL_HC1	219	chr3	10183750	e1	9984	53064
VHL_HC1	220	chr3	10183751	e1	9981	53197
VHL_HC1	221	chr3	10183752	e1	9329	52186
VHL_HC1	222	chr3	10183753	e1	8251	51991
VHL_HC1	223	chr3	10183754	e1	7302	47296
VHL_HC1	224	chr3	10183755	e1	7295	47070
VHL_HC1	225	chr3	10183756	e1	7295	46990
VHL_HC1	226	chr3	10183757	e1	7289	46355
VHL_HC1	227	chr3	10183758	e1	7296	46947
VHL_HC1	228	chr3	10183759	e1	7297	47061
VHL_HC1	229	chr3	10183760	e1	7294	47115
VHL_HC1	230	chr3	10183761	e1	7295	46419
VHL_HC1	231	chr3	10183762	e1	7293	46009
VHL_HC1	232	chr3	10183763	e1	7289	2702
VHL_HC1	233	chr3	10183764	e1	7295	2827
VHL_HC1	234	chr3	10183765	e1	7292	2821
VHL_HC1	235	chr3	10183766	e1	6187	2823
VHL_HC1	236	chr3	10183767	e1	6185	3662
VHL_HC1	237	chr3	10183768	e1	5610	3663
VHL_HC1	238	chr3	10183769	e1	5613	4046
VHL_HC1	239	chr3	10183770	e1	5609	4047
VHL_HC1	240	chr3	10183771	e1	5613	4177
VHL_HC1	241	chr3	10183772	e1	5113	4387
VHL_HC1	242	chr3	10183773	e1	4635	4389
VHL_HC1	243	chr3	10183774	e1	4631	4389
VHL_HC1	244	chr3	10183775	e1	4631	4389
VHL_HC1	245	chr3	10183776	e1	3933	4773
VHL_HC1	246	chr3	10183777	e1	3929	5103
VHL_HC1	247	chr3	10183778	e1	3072	5102
VHL_HC1	248	chr3	10183779	e1	3035	5102
VHL_HC1	249	chr3	10183780	e1	3035	5152
VHL_HC1	250	chr3	10183781	e1	2422	5151
VHL_HC1	251	chr3	10183782	e1	2418	5429
VHL_HC1	252	chr3	10183783	e1	2416	5715
VHL_HC1	253	chr3	10183784	e1	2415	6177
VHL_HC1	254	chr3	10183785	e1	2408	6179
VHL_HC1	255	chr3	10183786	e1	2057	6315
VHL_HC1	256	chr3	10183787	e1	2023	6297
VHL_HC1	257	chr3	10183788	e1	2015	6328
VHL_HC1	258	chr3	10183789	e1	1973	6689
VHL_HC1	259	chr3	10183790	e1	1912	7781
VHL_HC1	260	chr3	10183791	e1	168224	8932
VHL_HC1	261	chr3	10183792	e1	169145	8937
VHL_HC1	262	chr3	10183793	e1	169434	9163
VHL_HC1	263	chr3	10183794	e1	170275	9150
VHL_HC1	264	chr3	10183795	e1	170152	9169
VHL_HC1	265	chr3	10183796	e1	169177	9169
VHL_HC1	266	chr3	10183797	e1	170214	9171
VHL_HC1	267	chr3	10183798	e1	169429	9168
VHL_HC1	268	chr3	10183799	e1	170044	9165
VHL_HC1	269	chr3	10183800	e1	170885	9474
VHL_HC1	270	chr3	10183801	e1	169772	9529
VHL_HC1	271	chr3	10183802	e1	170046	11396
VHL_HC1	272	chr3	10183803	e1	170530	12442
VHL_HC1	273	chr3	10183804	e1	170082	12465
VHL_HC1	274	chr3	10183805	e1	170296	14944
VHL_HC1	275	chr3	10183806	e1	170401	15638
VHL_HC1	276	chr3	10183807	e1	170615	15644
VHL_HC1	277	chr3	10183808	e1	170726	17376
VHL_HC1	278	chr3	10183809	e1	170851	19144
VHL_HC1	279	chr3	10183810	e1	170933	19154
VHL_HC1	280	chr3	10183811	e1	170351	21063
VHL_HC1	281	chr3	10183812	e1	171086	22912
VHL_HC1	282	chr3	10183813	e1	171331	23625
VHL_HC1	283	chr3	10183814	e1	170224	23633
VHL_HC1	284	chr3	10183815	e1	171627	23644
VHL_HC1	285	chr3	10183816	e1	171718	25297
VHL_HC1	286	chr3	10183817	e1	171766	26246
VHL_HC1	287	chr3	10183818	e1	171774	27791
VHL_HC1	288	chr3	10183819	e1	171934	28417
VHL_HC1	289	chr3	10183820	e1	170807	28655
VHL_HC1	290	chr3	10183821	e1	171623	28755
VHL_HC1	291	chr3	10183822	e1	170451	29743
VHL_HC1	292	chr3	10183823	e1	169628	30482
VHL_HC1	293	chr3	10183824	e1	168651	32514
VHL_HC1	294	chr3	10183825	e1	168490	32497
VHL_HC1	295	chr3	10183826	e1	168440	34582
VHL_HC1	296	chr3	10183827	e1	167929	35340
VHL_HC1	297	chr3	10183828	e1	167007	36913
VHL_HC1	298	chr3	10183829	e1	165935	36983
VHL_HC1	299	chr3	10183830	e1	164855	36984
VHL_HC1	300	chr3	10183831	e1	162759	37384
VHL_HC1	301	chr3	10183832	e1	162042	37430
VHL_HC1	302	chr3	10183833	e1	161790	37712
VHL_HC1	303	chr3	10183834	e1	161842	39781
VHL_HC1	304	chr3	10183835	e1	155880	40281
VHL_HC1	305	chr3	10183836	e1	158845	40955
VHL_HC1	306	chr3	10183837	e1	157543	42619
VHL_HC1	307	chr3	10183838	e1	156670	42756
VHL_HC1	308	chr3	10183839	e1	157176	44386
VHL_HC1	309	chr3	10183840	e1	156201	46110
VHL_HC1	310	chr3	10183841	e1	155213	46683
VHL_HC1	311	chr3	10183842	e1	154587	47293
VHL_HC1	312	chr3	10183843	e1	154645	48062
VHL_HC1	313	chr3	10183844	e1	152816	48068
VHL_HC1	314	chr3	10183845	e1	152454	48301
VHL_HC1	315	chr3	10183846	e1	150964	48144
VHL_HC1	316	chr3	10183847	e1	150521	50188
VHL_HC1	317	chr3	10183848	e1	150008	50613
VHL_HC1	318	chr3	10183849	e1	148920	50597
VHL_HC1	319	chr3	10183850	e1	149734	50626
VHL_HC1	320	chr3	10183851	e1	144572	52105
VHL_HC1	321	chr3	10183852	e1	143736	53616
VHL_HC1	322	chr3	10183853	e1	143320	55018
VHL_HC1	323	chr3	10183854	e1	139135	57425
VHL_HC1	324	chr3	10183855	e1	138430	57463
VHL_HC1	325	chr3	10183856	e1	138506	59614
VHL_HC1	326	chr3	10183857	e1	138548	59895
VHL_HC1	327	chr3	10183858	e1	138158	61234
VHL_HC1	328	chr3	10183859	e1	135595	62142
VHL_HC1	329	chr3	10183860	e1	133944	63374
VHL_HC1	330	chr3	10183861	e1	133570	63929
VHL_HC1	331	chr3	10183862	e1	131136	64181
VHL_HC1	332	chr3	10183863	e1	129118	65241
VHL_HC1	333	chr3	10183864	e1	125773	66275
VHL_HC1	334	chr3	10183865	e1	123918	66260
VHL_HC1	335	chr3	10183866	e1	122968	66708
VHL_HC1	336	chr3	10183867	e1	122230	66691
VHL_HC1	337	chr3	10183868	e1	119439	67131
VHL_HC1	338	chr3	10183869	e1	116586	68510
VHL_HC1	339	chr3	10183870	e1	115503	69139
VHL_HC1	340	chr3	10183871	e1	113674	67786
VHL_HC1	341	chr3	10188198	e2	91437	121182
VHL_HC1	342	chr3	10188199	e2	90822	124358
VHL_HC1	343	chr3	10188200	e2	88522	128170
VHL_HC1	344	chr3	10188201	e2	88415	134677
VHL_HC1	345	chr3	10188202	e2	87870	135506
VHL_HC1	346	chr3	10188203	e2	85830	138558
VHL_HC1	347	chr3	10188204	e2	84524	139130
VHL_HC1	348	chr3	10188205	e2	84043	143343
VHL_HC1	349	chr3	10188206	e2	82432	143160
VHL_HC1	350	chr3	10188207	e2	81666	142653
VHL_HC1	351	chr3	10188208	e2	81512	146382
VHL_HC1	352	chr3	10188209	e2	81509	149042
VHL_HC1	353	chr3	10188210	e2	81166	149007
VHL_HC1	354	chr3	10188211	e2	80850	150213
VHL_HC1	355	chr3	10188212	e2	80380	151535
VHL_HC1	356	chr3	10188213	e2	79848	153809
VHL_HC1	357	chr3	10188214	e2	78211	154729
VHL_HC1	358	chr3	10188215	e2	77439	156788
VHL_HC1	359	chr3	10188216	e2	76657	159779
VHL_HC1	360	chr3	10188217	e2	76031	160141
VHL_HC1	361	chr3	10188218	e2	75837	162302
VHL_HC1	362	chr3	10188219	e2	75372	163355
VHL_HC1	363	chr3	10188220	e2	74170	164864
VHL_HC1	364	chr3	10188221	e2	73066	167755
VHL_HC1	365	chr3	10188222	e2	72714	168758
VHL_HC1	366	chr3	10188223	e2	72101	171343
VHL_HC1	367	chr3	10188224	e2	70470	172387
VHL_HC1	368	chr3	10188225	e2	69919	176942
VHL_HC1	369	chr3	10188226	e2	69744	179134
VHL_HC1	370	chr3	10188227	e2	69033	179842
VHL_HC1	371	chr3	10188228	e2	67935	179856
VHL_HC1	372	chr3	10188229	e2	67219	184525
VHL_HC1	373	chr3	10188230	e2	66816	185158
VHL_HC1	374	chr3	10188231	e2	64419	186947
VHL_HC1	375	chr3	10188232	e2	63378	186783
VHL_HC1	376	chr3	10188233	e2	60501	188396
VHL_HC1	377	chr3	10188234	e2	59408	187997
VHL_HC1	378	chr3	10188235	e2	57612	188196
VHL_HC1	379	chr3	10188236	e2	54183	184022
VHL_HC1	380	chr3	10188237	e2	54298	188432
VHL_HC1	381	chr3	10188238	e2	53342	188144
VHL_HC1	382	chr3	10188239	e2	52420	187992
VHL_HC1	383	chr3	10188240	e2	51302	187829
VHL_HC1	384	chr3	10188241	e2	50275	188446
VHL_HC1	385	chr3	10188242	e2	47882	188345
VHL_HC1	386	chr3	10188243	e2	44528	188205
VHL_HC1	387	chr3	10188244	e2	40852	187678
VHL_HC1	388	chr3	10188245	e2	40451	188329
VHL_HC1	389	chr3	10188246	e2	40397	188718
VHL_HC1	390	chr3	10188247	e2	37516	188770
VHL_HC1	391	chr3	10188248	e2	130029	188562
VHL_HC1	392	chr3	10188249	e2	130749	190727
VHL_HC1	393	chr3	10188250	e2	126075	190486
VHL_HC1	394	chr3	10188251	e2	127564	190390
VHL_HC1	395	chr3	10188252	e2	124724	190053
VHL_HC1	396	chr3	10188253	e2	125788	190830
VHL_HC1	397	chr3	10188254	e2	124156	190623
VHL_HC1	398	chr3	10188255	e2	122338	190746
VHL_HC1	399	chr3	10188256	e2	122333	191670
VHL_HC1	400	chr3	10188257	e2	121044	191742
VHL_HC1	401	chr3	10188258	e2	119296	191859
VHL_HC1	402	chr3	10188259	e2	119289	192495
VHL_HC1	403	chr3	10188260	e2	117720	192142
VHL_HC1	404	chr3	10188261	e2	117550	192047
VHL_HC1	405	chr3	10188262	e2	115864	191722
VHL_HC1	406	chr3	10188263	e2	113870	190593
VHL_HC1	407	chr3	10188264	e2	112817	190521
VHL_HC1	408	chr3	10188265	e2	110839	190357
VHL_HC1	409	chr3	10188266	e2	109157	190071
VHL_HC1	410	chr3	10188267	e2	107699	189821
VHL_HC1	411	chr3	10188268	e2	106745	189311
VHL_HC1	412	chr3	10188269	e2	106515	188687
VHL_HC1	413	chr3	10188270	e2	105825	188672
VHL_HC1	414	chr3	10188271	e2	105383	188496
VHL_HC1	415	chr3	10188272	e2	105244	188126
VHL_HC1	416	chr3	10188273	e2	103894	187762
VHL_HC1	417	chr3	10188274	e2	103603	187713
VHL_HC1	418	chr3	10188275	e2	103116	187619
VHL_HC1	419	chr3	10188276	e2	103158	187446
VHL_HC1	420	chr3	10188277	e2	103023	187263
VHL_HC1	421	chr3	10188278	e2	102647	186822
VHL_HC1	422	chr3	10188279	e2	100518	187547
VHL_HC1	423	chr3	10188280	e2	97106	187320
VHL_HC1	424	chr3	10188281	e2	89890	186711
VHL_HC1	425	chr3	10188282	e2	89817	186207
VHL_HC1	426	chr3	10188283	e2	85666	186896
VHL_HC1	427	chr3	10188284	e2	82640	185256
VHL_HC1	428	chr3	10188285	e2	80278	186357
VHL_HC1	429	chr3	10188286	e2	80292	186375
VHL_HC1	430	chr3	10188287	e2	70799	186351
VHL_HC1	431	chr3	10188288	e2	70274	186076
VHL_HC1	432	chr3	10188289	e2	70273	181705
VHL_HC1	433	chr3	10188290	e2	70130	698
VHL_HC1	434	chr3	10188291	e2	68072	667
VHL_HC1	435	chr3	10188292	e2	66251	666
VHL_HC1	436	chr3	10188293	e2	65738	688
VHL_HC1	437	chr3	10188294	e2	65304	689
VHL_HC1	438	chr3	10188295	e2	64558	689
VHL_HC1	439	chr3	10188296	e2	60042	689
VHL_HC1	440	chr3	10188297	e2	49060	667
VHL_HC1	441	chr3	10188298	e2	57074	677
VHL_HC1	442	chr3	10188299	e2	56825	677
VHL_HC1	443	chr3	10188300	e2	56745	677
VHL_HC1	444	chr3	10188301	e2	56569	677
VHL_HC1	445	chr3	10188302	e2	55231	677
VHL_HC1	446	chr3	10188303	e2	55235	698
VHL_HC1	447	chr3	10188304	e2	55247	698
VHL_HC1	448	chr3	10188305	e2	54301	697
VHL_HC1	449	chr3	10188306	e2	51834	700
VHL_HC1	450	chr3	10188307	e2	50962	700
VHL_HC1	451	chr3	10188308	e2	50318	702
VHL_HC1	452	chr3	10188309	e2	49594	725
VHL_HC1	453	chr3	10188310	e2	48977	723
VHL_HC1	454	chr3	10188311	e2	48373	723
VHL_HC1	455	chr3	10188312	e2	47405	723
VHL_HC1	456	chr3	10188313	e2	43699	736
VHL_HC1	457	chr3	10188314	e2	43198	736
VHL_HC1	458	chr3	10188315	e2	42147	779
VHL_HC1	459	chr3	10188316	e2	41828	781
VHL_HC1	460	chr3	10188317	e2	41629	780
VHL_HC1	461	chr3	10188318	e2	40782	780
VHL_HC1	462	chr3	10188319	e2	37969	781
VHL_HC1	463	chr3	10188320	e2	35062	778
VHL_HC1	464	chr3	10191471	e3	37648	103306
VHL_HC1	465	chr3	10191472	e3	36019	105710
VHL_HC1	466	chr3	10191473	e3	35355	106276
VHL_HC1	467	chr3	10191474	e3	34088	106430
VHL_HC1	468	chr3	10191475	e3	33551	109674
VHL_HC1	469	chr3	10191476	e3	33542	113286
VHL_HC1	470	chr3	10191477	e3	33535	115658
VHL_HC1	471	chr3	10191478	e3	33366	117194
VHL_HC1	472	chr3	10191479	e3	32391	118074
VHL_HC1	473	chr3	10191480	e3	29944	121388
VHL_HC1	474	chr3	10191481	e3	29587	123304
VHL_HC1	475	chr3	10191482	e3	29303	123981
VHL_HC1	476	chr3	10191483	e3	28652	125467
VHL_HC1	477	chr3	10191484	e3	27956	126179
VHL_HC1	478	chr3	10191485	e3	27149	126428
VHL_HC1	479	chr3	10191486	e3	26458	128221
VHL_HC1	480	chr3	10191487	e3	25709	129385
VHL_HC1	481	chr3	10191488	e3	25044	129850
VHL_HC1	482	chr3	10191489	e3	24045	131140
VHL_HC1	483	chr3	10191490	e3	23666	131592
VHL_HC1	484	chr3	10191491	e3	23087	133551
VHL_HC1	485	chr3	10191492	e3	21429	136761
VHL_HC1	486	chr3	10191493	e3	21379	138455
VHL_HC1	487	chr3	10191494	e3	20819	140170
VHL_HC1	488	chr3	10191495	e3	19373	141558
VHL_HC1	489	chr3	10191496	e3	18425	142704
VHL_HC1	490	chr3	10191497	e3	17653	144302
VHL_HC1	491	chr3	10191498	e3	17201	146047
VHL_HC1	492	chr3	10191499	e3	17199	146832
VHL_HC1	493	chr3	10191500	e3	17201	149833
VHL_HC1	494	chr3	10191501	e3	16982	150422
VHL_HC1	495	chr3	10191502	e3	15823	152027
VHL_HC1	496	chr3	10191503	e3	15410	152739
VHL_HC1	497	chr3	10191504	e3	14769	153883
VHL_HC1	498	chr3	10191505	e3	13861	155122
VHL_HC1	499	chr3	10191506	e3	12935	156543
VHL_HC1	500	chr3	10191507	e3	11691	156970
VHL_HC1	501	chr3	10191508	e3	11080	157676
VHL_HC1	502	chr3	10191509	e3	11079	158748
VHL_HC1	503	chr3	10191510	e3	10986	159918
VHL_HC1	504	chr3	10191511	e3	10842	160120
VHL_HC1	505	chr3	10191512	e3	9618	160386
VHL_HC1	506	chr3	10191513	e3	9500	160497
VHL_HC1	507	chr3	10191514	e3	8917	161225
VHL_HC1	508	chr3	10191515	e3	8682	161440
VHL_HC1	509	chr3	10191516	e3	8339	161961
VHL_HC1	510	chr3	10191517	e3	7816	162495
VHL_HC1	511	chr3	10191518	e3	6955	163696
VHL_HC1	512	chr3	10191519	e3	6810	164012
VHL_HC1	513	chr3	10191520	e3	6288	164880
VHL_HC1	514	chr3	10191521	e3	6194	165107
VHL_HC1	515	chr3	10191522	e3	5798	165771
VHL_HC1	516	chr3	10191523	e3	5379	167443
VHL_HC1	517	chr3	10191524	e3	117760	168169
