Gene ID	ACLD_7day_n1	ACLD_7day_n2	BCLD_7day_n1	BCLD_7day_n2	ITGA8plus_n1	ITGA8plus_n2	SIX2GFPplus-ITGA8plus_n1	SIX2GFPplus-ITGA8plus_n2	SRR2588709
9111__NMI	0.63294953	0.3430717	0.012930014	1.127518	0	0	0.17367287	0	0.746801225
84947__SERAC1	0.7085173	1.0620911	0.750628	0.4818876	0.164052	0.2328366	0.1713469	0.2464852	-0.7036738
80223__RAB11FIP1	0.3921943	-0.3994099	1.4670944	0.9366033	0.7058471	0.8382251	0.9392826	1.1425817	-0.0578704999999999
339210__C17orf67	-0.078302265	-0.078302265	-0.078302265	-0.078302265	-0.078302265	-0.078302265	-0.078302265	-0.078302265	-0.078302265
8338__HIST2H2AC	0.226639	0.160824999999999	0.043161	0.501156999999999	0.0926209999999994	-0.230276	0.836115	0.3697	0.837428
2669__GEM	-1.22023235	-1.31746505	-1.64760695	-2.047591997	-0.82893515	-0.58013105	-0.76478255	0.36366475	-0.60220665
51339__DACT1	-1.66616035	-1.80302665	-2.17659065	-2.48557705	-0.96340575	-1.20114915	-1.55071275	-1.78718295	-2.43720315
8632__DNAH17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10771__ZMYND11	0.227192	0.1799677	0.335371	0.441966	-0.2546837	-0.1148684	-0.3857179	0.058141000000001	0.27453215
84067__FAM160A2	0.1361561	-0.0239773	0.1486382	-0.1126932	0.358221	0.1744361	0.4176002	0.3457086	2.23877825
4782__NFIC	1.1068357	1.1916791	0.1809067	0.0364625999999999	-0.0690748000000001	-0.2244209	0.0248284000000001	0.2931512	0.5332763
1124__CHN2	1.2622355	1.4117161	-0.1146182	0.1388929	0.8755051	1.1966297	1.4051007	1.9380611	0.2876763
23545__ATP6V0A2	0.4793432	0.6157024	0.4480512	-0.2138216	0.1213267	0.2525873	-0.0815039	0.1815774	0.29587315
23114__NFASC	0.878558	1.0958217	0.0	0.0	0.0	0.0	0.0	0.0	0.023319848
10101__NUBP2	0.11235715	0.83740455	-0.05976065	0.27690815	0.02058975	-0.27592015	-0.02649345	-0.08097535	1.5554618
64111__NPVF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6238__RRBP1	1.1213669	1.0117292	0.5572427	0.1574837	-0.2134757	-0.3971815	-0.6628676	-0.6465497	-1.0457128
7015__TERT	0	0	0	0	0	0	0	0	-0.43471915
57122__NUP107	-0.709096899999999	-0.599482499999999	-0.535503899999999	-0.431081799999999	-0.0709418999999991	0.0474085	-0.2374335	-0.2702751	-1.15508435
786__CACNG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64172__OSGEPL1	-1.8247107	-1.3099479	-0.7918717	-0.8915693	-0.0174095000000001	0.185521	0.1690131	0.1383175	-1.4742134
81502__HM13	0.74257635	0.70332935	0.16196435	0.24985775	-0.0708986499999999	-0.0667426500000003	-0.40307865	-0.06841895	0.560759249999999
150274__HSCB	0.2769013	0.6987076	0.3276105	0.2099571	0.0193649	0.2063465	-1.1103198	-0.446923	-0.17335865
79823__CAMKMT	-0.7998285	-0.6412689	-0.4162368	0.1481766	-0.2517652	-0.0724915	-1.02887686	0.00834119999999994	-1.57062205
1486__CTBS	-0.1967926	0.4607496	0.3817771	0.0107642999999999	-0.3213989	-0.0201708999999999	-0.1022463	-0.52952	-1.57851636
2788__GNG7	-0.75886982	-0.95779995	-0.57326768	-0.95779995	-0.2809845	-0.20041511	0.63886445	0.49949375	0.64367745
8803__SUCLA2	0.2456171	0.3061987	0.4461767	0.3903337	-0.0229933000000002	0.045861	-0.0401933000000003	-0.0924653000000003	-0.623789799999999
54982__CLN6	0.35328235	-0.10432285	0.22694315	-0.04785545	0.00073015000000004	-0.36298685	-0.03907925	0.09137335	-0.367609750000001
1058__CENPA	-1.21000385	-0.39200495	-0.72675415	-0.34913165	-0.27992895	-0.0183875499999999	-0.35592275	-0.57662275	-0.7524364
23416__KCNH3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.39303903
692110__SNORD70	-3.2168034	-0.9217187	-1.0592156	-1.4592008	1.4032597	-0.2935525	-1.8608893	-2.7778676	0.41061085
1687__DFNA5	-0.41722165	-0.49059125	-0.06945975	0.0666084499999999	-0.10084455	-0.11745115	0.31177425	-0.16705635	-0.00424745000000004
26258__BLOC1S6	-0.2924629	-0.2829085	0.2214988	-0.2920767	-0.0272075000000001	0.1009188	-0.2623259	0.0734051999999998	-0.5765096
149951__COMMD7	0.67902565	0.86423265	0.86988995	0.56536215	0.0534329499999999	0.17505215	0.36526915	-0.19599775	0.32102155
51074__APIP	-0.6797824	-0.2530289	0.0687268	0.3202433	-0.2132904	-0.1703374	-0.3499878	0.3382376	-0.304439149999999
51185__CRBN	-0.3340649	-0.2664155	-0.2795548	-0.0730009	-0.0184631	0.1249848	-0.1871225	-0.3079525	0.30069815
51305__KCNK9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2218__FKTN	-0.55625485	-0.43788585	-0.14464055	-0.39811645	0.0270596500000001	0.0793811500000001	-0.26734225	-0.25798145	0.0128762000000001
1236__CCR7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10970__CKAP4	0.71445075	0.542683749999999	0.669598749999999	0.633816749999999	0.0553707500000005	0.0451947499999994	0.30004575	0.170512449999999	-0.102425500000001
79802__HHIPL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2137__EXTL3	-0.2812032	-0.1023898	-0.179486	-0.1191434	-0.3563785	-0.5744602	-0.6951322	-0.7149739	-0.318482149999999
4634__MYL3	-0.5925559	-0.5925559	-0.5925559	-0.5925559	-0.5925559	-0.5925559	-0.5925559	-0.5925559	-0.0703617
256158__HMCN2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9031__BAZ1B	0.0583880000000005	-0.0621323999999995	-0.0767210000000005	-0.1887026	-0.189622	-0.124422999999999	0.0658809999999995	0.0200070000000005	-0.8549317
10621__POLR3F	-0.6369209	-0.7043943	0.0068567000000001	-1.0151098	-0.2030048	-0.0420883000000001	-0.4586673	-0.5123048	-0.343411
266629__SEC14L3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3360__HTR4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8756__ADAM7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81532__MOB2	0.6988875	1.3468322	0.353975	1.3076268	0.7411263	0.9764388	0.7873064	0.7508002	1.8591034
10870__HCST	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6909966
3672__ITGA1	-0.79396405	-0.56977285	-0.22184675	-0.30789105	-1.65985505	-2.46545785	-3.37882555	-3.37882555	-0.61531089
1347__COX7A2	0.291985499999999	0.5927405	0.730668	0.844168999999999	-0.0032816	-0.0366182	0.4717936	0.268775399999999	-0.692501250000001
23168__RTF1	-0.023864	-0.096579600000001	0.1410593	-0.112984700000001	-0.1663476	-0.098600000000001	-0.136915700000001	-0.177300500000001	-0.3231667
27124__INPP5J	0.0	0.06170195	0.0	0.0	0.0	0.0	0.0	0.112443805	1.0977361
5322__PLA2G5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22884__WDR37	-0.0881799000000001	-0.0064729	-0.1377913	-0.1737341	-0.1087021	0.0621845999999999	-0.268402	-0.0871249000000001	0.05263665
253558__LCLAT1	-0.5635074	-0.1910184	0.2300875	0.1978771	0.1083481	0.0662918000000002	0.2784826	0.0455386000000002	-0.77062795
140__ADORA3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3635.chr2.2__INPP5D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54989__ZNF770	-0.0528913500000001	-0.34452515	0.58057615	0.36915325	0.16961665	0.22333215	0.15828535	0.13372205	0.16245
6873__TAF2	-0.2261205	-0.3336961	-0.2676865	-0.3139378	-0.1150615	-0.0488385	-0.0154474999999999	0.0544975	-0.69351015
4988__OPRM1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28951__TRIB2	2.01813935	2.14722875	0.96692805	0.97748775	0.03594475	-0.08463425	-0.22080185	-0.11154825	0.2869695
9639__ARHGEF10	-0.9694001	-0.9023598	-0.7469403	-0.9620422	-0.0351132000000001	0.0753344	-0.8257092	-0.1713182	-0.89390905
9319__TRIP13	-0.0016832500000001	0.20601155	-0.25163365	0.10488535	-0.33937235	-0.28443065	-0.17899725	-0.64808635	-0.1585293
1660__DHX9	-0.0373875499999999	-0.0359129499999989	-0.00487454999999892	-0.167586549999999	-0.250396249999999	-0.178812949999999	-0.22802595	-0.265407049999999	0.087956150000001
146310__RNF151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
162466__PHOSPHO1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4142__MAS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56257__MEPCE	-0.2256617	-0.0746572	-0.3110802	-0.1454198	-0.098237	-0.1605255	-0.2214706	0.2493496	0.53743285
1844__DUSP2	-0.64660387	-0.64660387	-0.64660387	-0.64660387	0.30223299	-0.07043647	0.14925113	-0.02587931	1.51720398
6550__SLC9A3	-0.9233931	-0.9233931	-0.5463881	-0.4674313	0.758644	0.2408394	0.1717311	0.6768405	1.7693857
80824__DUSP16	-0.9471574	-1.2979162	-0.5275605	-0.8065724	0.0994358	0.1673274	-0.1310084	0.3376274	-0.0207386000000001
64146__PDF	0.4642568	0.3561788	0.3523152	-0.00355660000000002	0.6020268	0.3779224	0.0537445999999999	0.476954	0.13224485
55973__BCAP29	0.49962665	0.43882485	0.71033595	0.61576505	-0.10675815	0.18013775	0.45820495	0.25859495	0.4982407
23493__HEY2	2.83117655	3.36981825	1.35272405	1.93018385	0.71274285	0.92182395	0.06607545	0.41213165	-0.474450835
286204__CRB2	-2.21909545	-2.21909545	-1.55400655	-1.30146285	1.23170305	0.90114145	1.25793695	1.24296755	0.68499868
5413__SEPT5	-1.1160137	-1.2330471	-2.01422588	-1.2431536	-0.5342656	-0.7219777	-1.3457196	-1.0738823	0.0861576500000001
887__CCKBR	0.0	0.0	0.0	0.2438999	0.0	0.0	0.0	0.0	0.0
56159__TEX11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11133__KPTN	-0.440306	-1.446705	-0.8087557	-0.7392555	0.1960107	-0.6372524	0.4440183	0.6050426	-0.0035339499999999
4753__NELL2	-3.5746716	-2.9349385	-0.3887391	-0.7390661	-1.030236	-2.1505611	-2.18481	-2.5775847	-2.36483815
114905__C1QTNF7	-2.1180495	-2.5644742	-1.7591308	-1.8784826	1.0917572	1.284223	1.10662	1.3560001	1.2643151
6710__SPTB	2.1507206	1.2820277	1.083648	0.33794606	1.333743	1.3867778	0.8253697	1.1730791	3.9543273
80700__UBXN6	0.884399	0.9762473	1.085238	1.1385645	0.3990936	0.1409204	0.9344213	1.140664	1.5953002
655__BMP7	1.03002715	0.65316815	1.17178215	1.42247515	-0.19715385	-0.50555595	-0.69709865	-0.65731285	-0.0981793000000001
5093__PCBP1	-0.08135965	0.07803785	0.20302085	0.20693285	0.069093850000001	0.10590685	0.09064585	0.04131685	-0.63383925
6545__SLC7A4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8950951
7073__TIAL1	-0.69345295	-0.766740349999999	-0.665791949999999	-0.65306795	-0.00868124999999997	0.11181645	-0.19494535	-0.104115449999999	-0.277062950000001
158158__RASEF	0.177772630000001	0.428463300000001	1.3784294	1.491889	0	0	0	0	1.19873894
27345__KCNMB4	-0.04076945	0.29302245	0.55245555	0.30819355	-0.31724325	-0.64446475	-0.17896455	-0.56686675	-2.799160625
51604__PIGT	0.86757445	1.01741945	0.79038645	0.92825415	-0.196733949999999	-0.17513605	0.11311675	-0.25703655	-0.68079115
84861__KLHL22	-0.38400925	0.43900715	-1.02819525	-0.0280448499999999	-0.0551810499999998	-0.48487965	0.00507195000000005	0.27251795	0.27435395
60436__TGIF2	0.0740833500000001	-0.11345265	0.22137085	-0.44391885	0.15863935	0.0080693500000002	-0.0055586499999996	-0.0232733499999996	0.0391991
54477__PLEKHA5	-0.6124047	-0.3386365	-0.2989797	-0.5136109	-0.0696347	-0.089938	-0.4604474	-0.2700294	-1.679377
442117__GALNTL6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7019__TFAM	0.10497735	-0.181553849999999	0.46226575	0.20307805	-0.01232415	0.0997087499999996	0.174324350000001	-0.13129495	-0.7435967
677772__SCARNA6	0.5465923	0.9358182	0.5143266	0.1298433	0.592874	0.3163224	0.6862484	0.0440064	0.31859705
390038__OR51D1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1314__COPA	0.22574455	0.22676875	0.05970015	-0.07311785	0.03714355	0.09562185	-0.08730685	-0.06771055	-0.6733736
55657__ZNF692	-2.23333055	-1.41286235	-2.08385688	-1.17537665	0.27939565	0.54857955	0.56231745	0.81743275	0.16831365
11137__PWP1	-0.29425915	-0.12772815	0.11236135	-0.03188905	0.00976135	-0.05096635	-0.458040350000001	-0.59973725	-0.538740400000001
10572__SIVA1	0.21642765	0.88785265	0.05758065	0.954442050000001	-0.26452465	-0.44255785	-0.83651705	-0.92034105	1.03159665
85462__FHDC1	0	0	0	0	0	0.7136568	0	0	0.70794681
283600__SLC25A47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.76072717
29915__HCFC2	-0.2147133	-0.9721184	-0.4382328	-1.1320282	-0.3076606	-0.3689158	-0.5369682	-0.3834016	-0.4696392
2983__GUCY1B3	0.1150542	0.4861747	2.7431926	2.6651899	0.597257	0.6783811	-0.343476	-0.3090479	0.98987192
79751__SLC25A22	0.7192285	0.3266782	0.166323	0.6288344	0.3130493	-0.0253165000000001	0.594517	-0.0482865	0.56906875
2332__FMR1	-0.3281799	-0.297382	-0.1194983	-0.1807037	-0.0635543	-0.0591837	0.0610817	0.0527281	0.462745450000001
728568__C12orf73	0.1801727	-0.3868628	-0.0694121999999999	-0.0833943000000001	0.3301425	0.3334772	0.4844395	-0.3441284	-2.415992925
1018__CDK3	-0.70815008	-0.70815008	-0.70815008	-0.70815008	0.19199482	0.50316832	-0.63550388	0.22696407	2.43502774
7249__TSC2	-0.7763478	-0.3305023	-0.731177	-0.7400449	0.0036513	-0.1867899	-0.1779253	0.089824700000001	1.2305468
83852__SETDB2	-0.7159995	-0.5599871	-0.3498418	-0.2347687	-0.00602849999999999	0.3490182	-0.2259926	0.1218027	1.045731
2870__GRK6	0.26541135	0.52064305	-0.00840905000000003	0.14361905	0.28767655	-0.19229935	0.0941302499999999	0.09937595	0.35937085
2792__GNGT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2202__EFEMP1	-3.432812608	-3.46034255	-0.11016525	-0.16098155	-0.0839318500000001	0.0316711499999998	-0.25092755	-0.17009795	0.65238815
79705__LRRK1	0	0	0	0	0	0	0	0	-0.10309637
64359__NXN	-0.5625138	-0.5916355	-0.351055	-0.2578576	0.087547	-0.132884	-0.07855	0.143875	-0.79700095
6236__RRAD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0607904
10595__ERN2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7082__TJP1	0.89119785	1.04721705	0.44888995	0.41980355	-0.01402345	0.02673315	0.32054955	-0.00606185000000004	-0.0411550000000001
56606__SLC2A9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3709__ITPR2	1.56502935	1.40158965	0.88302895	0.42030975	0.59045275	0.65433075	0.39421315	0.83382555	0.391422325
8871__SYNJ2	1.2091596	0.7439068	0.7735628	0.5803455	0	0	0.6349295	0	-0.218411475
200933__FBXO45	0.44601395	-0.09286015	0.54801445	-0.19059035	-0.23308345	-0.23756975	-0.19053815	-0.61421985	-0.2320455
6327__SCN2B	0	0.19341166	0	0	0	0	0	0	-0.07817615
1207__CLNS1A	-0.395453	-0.1186425	-0.0153561	0.1563091	0.2822351	0.4009461	0.2678251	0.0886955	-0.52119435
8910__SGCE	-0.275797000000001	0.1203217	-0.3015138	-0.0663153000000003	-0.0302955000000003	-0.0313610000000004	-0.130517600000001	-0.1848045	0.61772653
4665__NAB2	0.8007357	0.6465664	0.4859178	0.372935	0.3275208	0.2260248	0.1347048	0.3585426	0.442371349999999
148__ADRA1A	0	0	0	0	0	0	0	0	0.8646645
83596__BCL2L12	-0.32618085	0.0895873499999999	0.24275245	0.41711775	-0.0189564499999997	0.0447085500000001	0.25866855	0.53706515	0.2742661
6697__SPR	0	0	0	0	0	0	0	0	-2.12601445
50488__MINK1	-1.1312392	-1.046764	-0.8459049	-0.5578733	0.3483776	0.1603508	-0.3650306	0.0327350000000002	-0.0991811000000009
85444__LRRCC1	-0.28451275	-0.0641580500000001	-0.13782435	0.43437495	-0.46374775	-0.32039215	-0.55402235	-0.86349875	-0.2617276
5356__PLRG1	0.0280644999999999	0.170783299999999	0.1506568	0.2079351	0.0748713999999999	0.2200198	0.384056799999999	0.382269799999999	-0.229418700000001
22955__SCMH1	-0.85985565	-0.56937745	-0.72416145	-0.66326615	-0.26196915	-0.37940745	0.18422415	-0.0906901500000001	-0.9593329
166348__KBTBD12	-0.285041055	-0.285041055	-0.285041055	-0.285041055	-0.034853685	-0.285041055	-0.128810735	0.812191945	0.851432745
401565__FAM166A	0.0	0.0	0.0	0.0	0.0	0.38701904	0.0	0.0	0.0
283375__SLC39A5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0109034
84191__FAM96A	0.4000754	0.3331857	0.5841668	0.8096397	0.0055911999999998	0.0585398999999998	0.4679982	-0.3825238	-0.59932855
23013__SPEN	-0.2866405	-0.6369735	-0.3646449	-0.9879525	-0.053934	-0.0722641000000001	-0.2546615	-0.2022975	-0.47582545
677828__SNORA47	1.73279355	1.79809975	1.81122045	2.37266205	0.360742050000001	0.22022905	0.26799105	0.336012650000001	-3.1879255
54606__DDX56	-0.603292450000001	-0.37738085	-0.53875185	-0.475765750000001	0.08198715	6.24499999989925e-05	-0.025909950000001	0.07154225	0.836461999999998
51645__PPIL1	0.697129149999999	0.61015545	0.599646149999999	0.94949655	-0.07973735	-0.21587915	-0.01905125	0.091670849999999	-1.62861975
5564__PRKAB1	0.1857081	-0.0847066000000001	0.6621181	0.0240180999999999	-0.0536889	-0.1154032	-0.0652673	-0.2420895	0.067183299999999
64801__ARV1	-0.30120215	0.45973745	0.27260985	0.93871415	0.14881575	0.06861605	0.67060865	-0.09625205	0.3196449
84144__SYDE2	0.5017755	-0.1766661	0.7250423	0.1765535	-0.1300445	0.0345236	-0.2636094	0.5161815	-0.52931425
5024__P2RX3	0.23953328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54838__WBP1L	1.409954	1.7225994	0.9581679	1.252169	0.417643	0.4519294	0.3467104	0.4110812	1.3096527
5550__PREP	-0.19440665	-0.0903486500000005	-0.380211649999999	-0.25532465	-0.488717049999999	-0.38238235	-0.415084649999999	-0.455206649999999	-1.56679285
57663__USP29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57728__WDR19	-0.5403099	-0.6602187	-0.8760243	-1.051884	0.3596539	0.7286255	-0.2362123	0.3518219	-0.0947630500000001
4709__NDUFB3	-0.105882799999999	-0.0779086999999995	0.4410842	0.6370167	0.0989164000000002	0.0170072	0.3213833	-0.412504099999999	-1.52232645
54677__CROT	-0.3311502	-0.1668251	-0.5945796	-0.2845192	-0.0864215000000002	-0.2622631	-0.1893621	-0.1909485	0.816653
11098__PRSS23	1.870381535	2.213303335	2.675297935	2.776507135	1.115138235	1.574219235	0.551696335	1.143731435	3.604772535
205860__TRIML2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
114904__C1QTNF6	1.2113775	1.7649952	0.5503305	0.9585343	-0.0041532000000004	-0.1572442	-0.2672848	0.4119271	-0.1798713
55602__CDKN2AIP	-0.55619425	-0.333560750000001	-0.58519575	-0.166340750000001	0.134174249999999	0.316930549999999	0.203173249999999	0.14553005	-0.266969750000001
9185__REPS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5771055
2692__GHRHR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81846__SBF2	-0.5276805	-0.8755654	-0.2225038	-0.4391533	-0.00336160000000002	-0.0054092	-0.1578986	-0.2040759	-0.6436763
9365__KL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.3066089
950__SCARB2	0.7094375	0.6514595	0.6585419	0.4708922	0.1912155	0.3233712	0.2284291	0.1867385	0.0943876000000001
7584__ZNF35	-0.24492755	-0.23206505	-0.06465165	-0.96963305	-0.11947435	-0.26915185	-0.35307405	-0.29556485	-1.66443335
51106__TFB1M	-1.46481255	-0.18217425	-0.37655475	-0.44427325	-0.0914129500000001	0.00384375000000005	-0.31902145	0.16118305	-1.0097403
3683__ITGAL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1062361
23200__ATP11B	0.74837785	0.67876065	0.45914805	0.38312235	0.30644565	0.500183350000001	0.43423535	0.46845135	-0.10349915
79037__PVRIG	-1.232044365	-1.232044365	-1.232044365	-1.232044365	0.332308935	0.185450735	0.649470535	0.740517635	2.029381835
222658__KCTD20	0.4192559	0.4149458	-0.0792254000000004	-0.2618627	-0.2518943	-0.111723699999999	-0.5457888	-0.337335699999999	-0.673275600000001
1267__CNP	0.42317495	0.48307455	0.13712085	0.41949515	-0.0510012499999999	-0.12401065	-0.22429165	-0.06762165	-0.94302535
7222__TRPC3	-1.6169335	-1.6169335	-1.38039955	-1.36867293	-0.74105254	-1.119036	-1.6169335	-1.6169335	-1.24251983
57167__SALL4	0.1015167	0.3672559	0.5818699	0.544642400000001	1.0006419	1.1644792	1.2755699	1.4589269	-1.5696459
7172__TPMT	1.02751705	0.756747950000001	1.23530705	1.21926635	-0.16646815	-0.19573465	0.32453745	-0.00747844999999953	0.86968055
2837__UTS2R	-0.21253738	-0.21253738	0.38368967	-0.21253738	-0.08019236	0.43322832	0.47494362	0.61936582	2.52214232
1612__DAPK1	-0.4344362	-0.7646095	0.3014861	-0.0454756	-0.167987	-0.1881596	-0.3448322	-0.1774558	-0.3387213
146894__CD300LG	0.0	0.0	0.0	0.0	0.0	0.0	0.31959772	0.0	0.0
339105__PRSS53	-0.4308944	-0.4308944	-0.4308944	-0.4308944	0.37181953	0.0443209	0.27245877	0.8506726	1.30440635
10081__PDCD7	-0.0715093500000001	-0.0520198500000002	0.0329494499999998	0.18778325	0.03966695	-0.0093224500000002	0.34462295	-0.0319368500000001	-0.15905115
23397__NCAPH	-0.40021575	-0.31929335	-0.48158255	-0.55295835	-0.21435535	-0.34796945	-0.16797625	-0.41490545	-1.0086946
1666__DECR1	-0.1323207	0.2870226	0.1594433	0.5170683	-0.5517554	-0.6721528	-0.3059231	-0.8824187	-0.04783055
23421__ITGB3BP	-0.62286055	-0.80357715	-0.48758415	-0.19706215	0.13062235	0.09834985	0.22812085	-0.11239415	-0.1365564
84750__FUT10	-0.50499215	-0.73080675	-0.33601635	-0.52311485	-0.15780055	-0.18774335	-0.88525935	-0.15087095	-2.177632325
79607__FAM118B	0.529207	0.3319017	0.5181152	0.283068	-0.0341307000000001	0.0976029999999999	-0.6090425	0.0628396999999999	0.2360696
84230__LRRC8C	-0.0566167000000002	0.6670521	0.2903763	-0.2899686	-0.4197827	-0.9294398	-1.25869797	-2.1327099	-0.2869219
3814__KISS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6029__RN7SL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
958__CD40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23357__ANGEL1	-1.2976126	-0.6516642	-0.8032145	-0.4236116	0.1944311	0.1121958	-0.6247101	-0.1567266	0.50774285
8802__SUCLG1	0.285387	0.602999499999999	0.680864799999999	0.9097232	-0.0171174999999996	0.277772499999999	0.0449398999999995	0.196891299999999	-0.1516529
1036__CDO1	-0.15237295	-0.12628945	-0.96422615	-1.36421115	-0.13821015	-0.22701895	-0.22116695	-0.57269655	0.3944615
